,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,colares,48,RU,1545616166,71,67.55,63.78,1.3,16.4
142,saint-joseph,48,BR,1545616166,97,-32.03,-52.1,66.95,8.23
143,chabahar,75,GR,1545612600,100,39.45,22.34,41.0,2.42
144,bluff,88,BR,1545616167,90,-30.17,-50.22,69.61,6.67
145,kitui,0,BR,1545613200,73,-20.25,-43.81,73.4,5.82
146,caravelas,0,IT,1545614400,93,40.4,17.56,51.8,8.05
147,cape town,0,IR,1545613200,100,37.28,49.58,37.4,2.42
148,severo-kurilsk,1,US,1545614100,37,39.95,-94.76,35.06,5.82
149,tuggurt,0,SO,1545616167,81,5.35,48.53,77.08,20.76
150,silyanah,90,CA,1545613200,83,62.45,-114.38,-4.01,3.36
151,victoria,0,RU,1545616168,73,66.83,70.83,-16.08,20.98
152,bubaque,90,EC,1545613200,82,-0.39,-78.55,59.0,6.93
153,mogadishu,0,BW,1545613200,44,-24.68,25.54,78.8,4.7
154,bor,75,PH,1545613200,88,14.6,121.03,78.8,2.24
155,lompoc,32,RU,1545616169,28,56.36,114.84,-21.97,2.53
156,saldanha,32,BR,1545616170,92,-8.26,-49.26,72.22,5.66
157,pisco,75,FI,1545614400,92,63.84,23.13,12.2,5.82
158,ipira,40,JP,1545613200,52,37.8,140.92,42.8,8.05
159,okhotsk,1,US,1545615300,82,32.52,-92.15,46.94,4.65
160,kidal,75,BM,1545612900,64,32.3,-64.78,68.0,8.05
161,komsomolskiy,12,NZ,1545616170,64,-46.13,167.69,67.36,9.46
162,olafsvik,8,CA,1545616170,100,48.65,-53.11,30.55,21.32
163,rio grande,75,JP,1545613200,70,33.93,134.5,48.2,14.99
164,saint george,0,RU,1545616171,38,42.9,133.91,13.85,5.88
165,cidreira,48,IT,1545616171,95,44.43,10.25,35.45,2.3
166,praia,20,TT,1545613200,78,10.24,-61.45,77.0,5.82
167,sava,0,RU,1545616171,75,66.04,60.13,5.8,8.46
168,rasht,48,RU,1545616171,59,51.13,93.72,-15.72,1.97
169,kodiak,64,NO,1545614400,86,70.66,23.68,26.6,10.29
170,hobyo,56,AO,1545616172,94,-11.78,19.91,63.53,3.09
171,yellowknife,90,RU,1545615000,85,55.61,37.97,17.6,8.95
172,yar-sale,0,RU,1545616172,100,69.7,170.27,-31.29,3.53
173,san cristobal,0,CA,1545615899,70,66.15,-65.72,-16.17,3.09
174,thamaga,12,RU,1545616172,33,54.43,119.94,-24.36,2.98
175,san juan,0,ZA,1545616172,88,-31.47,19.78,47.11,2.64
176,barbar,90,IT,1545614400,99,45.18,8.4,42.8,4.7
177,taksimo,0,RU,1545616173,0,61.28,108.01,-37.5,2.75
178,conceicao do araguaia,64,KZ,1545615000,76,47.8,67.71,-9.41,6.71
179,kokkola,90,US,1545612960,66,37.55,-121.99,57.92,4.7
180,soma,20,IT,1545614400,93,41.89,12.48,55.4,4.7
181,west monroe,92,AO,1545616174,98,-8.42,20.74,67.36,3.09
182,hamilton,76,RU,1545616174,73,53.0,91.49,-4.15,2.53
183,tuatapere,1,US,1545614100,27,29.56,-104.41,60.62,12.75
184,bonavista,48,RU,1545616174,74,53.56,119.32,-8.52,3.31
185,mentok,76,ID,1545616174,77,-2.54,115.51,80.95,5.21
186,katsuura,90,CA,1545613920,84,49.78,-74.86,5.0,6.93
187,preobrazheniye,0,CN,1545616175,30,40.77,114.88,9.89,2.64
188,taviano,24,LK,1545616175,90,7.35,80.68,73.57,3.76
189,esperance,0,RU,1545615000,66,61.23,73.33,-29.21,4.47
190,inta,64,TL,1545616175,87,-8.93,125.41,77.53,2.19
191,khovu-aksy,40,RO,1545613200,86,45.92,26.67,32.0,12.75
192,cumaribo,0,AR,1545616176,46,-46.43,-67.52,70.15,22.1
193,hammerfest,8,MM,1545616176,63,16.78,94.73,83.11,6.89
194,luena,36,SE,1545614400,92,59.65,12.59,19.4,3.36
195,oktyabrskiy,1,US,1545615300,62,30.3,-99.24,48.56,4.7
196,pevek,0,RU,1545616176,0,66.42,112.4,-57.43,2.3
197,pangnirtung,40,IN,1545615000,83,10.77,75.93,77.0,3.36
198,tupik,88,RU,1545616177,92,73.51,80.55,26.72,35.63
199,calvinia,92,RU,1545616177,74,71.98,102.47,-6.54,21.43
200,vila,88,BR,1545616177,94,-19.11,-51.73,71.99,4.76
201,yerbogachen,0,ET,1545616177,90,8.96,38.73,38.2,2.42
202,zhezkazgan,0,CO,1545616177,93,5.33,-74.3,64.75,1.52
203,tidore,75,HN,1545613200,88,15.09,-87.97,73.4,4.7
204,fremont,0,VE,1545616178,91,9.79,-69.8,62.05,1.3
205,roma,90,IS,1545615000,87,63.84,-22.43,42.8,25.28
206,lucapa,24,RU,1545616178,86,68.05,39.51,13.27,14.72
207,mayna,75,CA,1545613200,76,58.81,-122.69,-7.61,2.86
208,ojinaga,44,PH,1545616178,87,16.29,119.81,84.05,3.2
209,davenda,92,GL,1545616179,92,60.14,-45.24,34.6,18.75
210,mrirt,20,MX,1545612120,69,16.86,-99.88,80.6,6.93
211,labuhan,0,KR,1545615000,42,37.57,126.98,30.2,6.93
212,chapais,88,RU,1545616179,100,61.92,159.24,8.9,21.43
213,zhangjiakou,0,RU,1545616179,71,54.23,85.8,-16.35,4.09
214,wattegama,88,PG,1545615889,100,-2.67,141.3,76.85,3.2
215,poykovskiy,44,PG,1545616179,100,-3.66,152.44,83.6,4.32
216,airai,0,AU,1545616179,72,-30.51,151.67,68.93,4.99
217,amderma,90,US,1545615600,93,37.46,-122.43,57.92,4.54
218,tulnici,0,RU,1545616180,0,71.64,128.87,-42.81,6.89
219,mar del plata,40,US,1545612780,31,45.67,-108.77,35.96,17.22
220,pathein,90,FR,1545613200,93,44.83,-0.61,53.6,3.09
221,arvika,0,LY,1545616180,77,31.86,10.98,32.98,2.42
222,bobo dioulasso,8,HT,1545616181,95,19.58,-72.18,78.43,13.82
223,harper,0,EG,1545616181,100,24.09,32.9,46.57,5.88
224,udachnyy,90,AU,1545613200,53,-28.95,153.24,80.6,12.75
225,ponnani,8,CA,1545616181,77,53.4,-117.57,9.67,1.63
226,dikson,48,NO,1545616181,100,67.67,12.69,39.73,21.43
227,khatanga,76,LK,1545616181,92,7.42,81.82,77.12,3.87
228,taolanaro,20,RU,1545616182,0,62.1,77.47,-29.67,10.69
229,cassilandia,80,ID,1545616182,97,-2.68,111.62,76.81,7.0
230,lebu,0,NG,1545613200,88,6.63,3.35,77.0,2.24
231,topaipi,90,US,1545615300,100,40.8,-124.16,57.02,9.17
232,amapa,68,RU,1545616182,70,53.27,140.15,6.52,11.36
233,el tocuyo,0,SN,1545615000,16,14.69,-16.54,78.8,10.29
234,tarudant,92,CN,1545616183,99,28.78,105.09,48.14,5.66
235,grindavik,92,CD,1545616183,98,-4.99,12.94,71.54,3.31
236,ostrovnoy,0,EG,1545616183,97,30.6,32.27,43.28,4.43
237,fort nelson,0,NZ,1545616183,65,-46.28,169.85,69.65,4.43
238,catuday,92,FR,1545613200,93,49.16,5.39,53.6,24.16
239,nanortalik,20,MU,1545613200,88,-19.98,57.61,73.4,8.05
240,acapulco,44,US,1545616184,50,37.17,-99.65,38.92,12.48
241,seoul,100,KM,1545616184,100,-11.38,43.28,81.35,9.24
242,higuey,75,TR,1545614400,100,37.53,40.83,41.0,9.17
243,evensk,32,PE,1545616185,98,-13.74,-72.9,42.7,1.3
244,salair,75,CA,1545613200,83,50.04,-110.68,32.0,6.93
245,vanimo,36,NA,1545616185,79,-17.88,15.07,67.49,3.31
246,namatanai,0,AU,1545615000,10,-43.03,147.26,84.2,21.92
247,armidale,36,CN,1545616185,66,33.46,119.15,44.9,7.0
248,bengkulu,36,BR,1545616185,90,-6.64,-51.99,75.91,3.42
249,half moon bay,12,NO,1545616186,100,71.03,27.85,9.44,4.21
250,tiksi,68,MG,1545616186,100,-22.14,48.01,71.72,12.48
251,laurel,76,RU,1545616186,100,45.23,147.88,30.59,18.07
252,saint-augustin,0,OM,1545612600,43,17.01,54.1,71.6,17.22
253,nalut,80,BR,1545616158,90,-21.48,-56.15,74.83,3.09
254,palabuhanratu,32,RU,1545616186,0,67.55,133.39,-45.33,2.53
255,grande riviere du nord,56,RU,1545616186,48,70.62,147.9,-29.4,4.21
256,aswan,90,AU,1545615000,94,-16.99,145.42,77.0,13.87
257,codrington,76,CN,1545616187,87,23.23,104.89,55.57,2.75
258,hinton,0,SA,1545616187,80,24.63,46.72,37.57,2.19
259,sorland,92,EE,1545616187,93,59.1,26.19,26.63,7.23
260,kalmunai,88,GL,1545612600,92,65.61,-37.64,26.6,2.98
261,cozumel,90,US,1545614580,85,44.77,-117.83,32.0,13.87
262,raduzhnyy,92,PH,1545616188,100,13.08,121.36,74.65,3.2
263,pangkalanbuun,0,IN,1545616188,67,30.78,78.62,22.4,1.74
264,george,75,AT,1545614400,81,48.64,13.53,53.6,25.28
265,eureka,1,US,1545612960,57,35.77,-91.64,42.08,2.3
266,mago,92,KZ,1545616188,100,43.18,51.68,32.62,18.86
267,gat,12,RU,1545616188,100,44.03,145.86,31.49,23.78
268,tongzi,0,AR,1545616188,47,-38.55,-58.74,76.9,14.94
269,tshela,75,RU,1545615000,77,64.42,-173.23,1.4,6.71
270,ismailia,68,RU,1545616189,57,50.37,119.09,-7.44,4.09
271,bargal,76,CA,1545616189,80,52.35,-110.26,10.57,9.46
272,kaitangata,0,ZA,1545613200,68,-23.89,30.29,68.0,11.41
273,verdun,0,LY,1545616189,87,26.59,12.77,38.15,6.67
274,cap malheureux,40,CO,1545613200,87,6.35,-75.51,60.8,2.24
275,wau,64,GB,1545612600,93,54.28,-0.41,39.2,5.82
276,sitka,92,IS,1545616032,96,63.44,-20.27,43.28,22.88
277,mitsamiouli,24,PG,1545616190,100,-2.57,150.8,86.12,2.98
278,durusu,36,GL,1545616190,100,72.79,-56.15,2.24,10.25
279,sofiysk,0,PT,1545613200,81,39.36,-9.38,51.8,10.29
280,matara,20,IE,1545616191,85,53.97,-8.3,31.49,5.55
281,medicine hat,20,ID,1545616191,87,-4.94,122.53,85.58,7.78
282,andevoranto,75,BN,1545615000,100,5.28,115.24,80.6,8.34
283,ongandjera,88,GL,1545612600,78,69.22,-51.1,15.8,20.8
284,margate,0,IR,1545613200,100,37.26,49.94,37.4,2.42
285,sanbu,0,MX,1545616191,99,27.97,-114.04,55.57,6.78
286,sao felix do xingu,0,SA,1545616191,81,26.33,43.97,39.91,4.09
287,mehamn,12,RU,1545616192,31,54.37,81.9,-21.03,10.92
288,manakara,36,ID,1545616192,83,-7.37,108.54,78.97,3.65
289,kurilsk,24,RU,1545616192,31,60.13,64.8,-20.58,5.66
290,salalah,36,ID,1545616192,100,-5.67,132.75,83.24,12.71
291,jardim,92,IS,1545616032,99,64.25,-15.21,41.35,23.89
292,verkhoyansk,90,FR,1545613200,100,45.6,-0.6,53.6,3.36
293,chokurdakh,92,RU,1545616193,87,54.43,31.9,23.98,11.81
294,mareeba,1,US,1545612960,71,41.97,-71.43,33.98,4.7
295,babu,36,NA,1545616193,92,-20.37,14.96,64.43,2.3
296,waw,90,US,1545613980,92,48.41,-114.33,28.04,3.36
297,riyadh,75,CA,1545613200,76,65.28,-126.83,-9.41,3.42
298,vao,90,CA,1545613200,68,49.25,-55.06,28.4,18.34
299,tasiilaq,75,CA,1545613200,85,52.36,-106.96,10.4,9.17
300,baker city,90,US,1545615300,72,45.31,-93.79,24.08,6.93
301,subaan,88,CA,1545616194,81,50.56,-96.99,11.78,4.76
302,lata,0,GH,1545613200,78,5.86,-0.66,80.6,4.7
303,wanning,40,JP,1545613200,65,36.22,136.15,41.0,18.34
304,batesville,0,CN,1545616195,77,40.29,97.04,7.42,13.27
305,gorno-chuyskiy,8,RU,1545616195,95,69.38,178.42,-11.35,13.82
306,kuryk,0,BJ,1545613200,69,6.37,2.09,78.8,1.12
307,yuzhno-kurilsk,1,US,1545613020,47,21.32,-158.01,82.94,6.93
308,necochea,44,MN,1545616195,68,49.49,105.92,-0.1,10.13
309,provideniya,0,NG,1545613200,88,6.46,3.39,77.0,2.24
310,hurghada,0,NG,1545616196,69,8.92,6.4,61.55,4.43
311,priargunsk,75,CU,1545612600,73,21.26,-78.15,73.4,14.99
312,provost,36,RU,1545616196,74,60.71,114.91,-17.43,4.76
313,nkowakowa,88,PY,1545616196,90,-19.93,-60.77,76.04,1.63
314,awbari,0,PK,1545616196,89,28.9,64.41,37.03,5.66
315,copacabana,90,RU,1545615000,77,53.14,59.15,-2.21,4.47
316,scarborough,76,GL,1545616197,87,61.99,-49.67,36.67,39.66
317,sentyabrskiy,75,BR,1545613200,88,-27.6,-48.55,73.4,6.93
318,vestmannaeyjar,0,CL,1545613200,44,-33.73,-70.74,75.2,6.93
319,kavieng,0,NP,1545616197,68,28.21,83.99,40.49,2.19
320,upernavik,8,BR,1545616197,97,-21.64,-41.05,79.96,16.17
321,peniche,80,RU,1545616197,100,65.58,-170.99,10.52,19.64
322,boyle,92,ID,1545616198,91,-7.38,108.21,71.54,2.75
323,katobu,0,CN,1545613200,73,36.09,120.35,26.6,2.24
324,bur gabo,0,IN,1545616198,78,28.33,75.06,44.09,2.75
325,labuan,40,CM,1545613200,100,4.42,9.93,75.2,1.12
326,ilulissat,68,AU,1545616198,48,-34.72,135.86,82.21,11.7
327,astaneh-ye ashrafiyeh,0,ML,1545616198,41,22.68,-3.98,52.73,13.15
328,guerrero negro,80,PH,1545616199,62,17.32,120.7,83.2,4.76
329,sinkat,92,GL,1545616199,100,68.71,-52.87,21.1,14.72
330,buraydah,24,RU,1545616199,72,49.22,143.1,9.89,10.13
331,ordynskoye,75,IL,1545614400,82,31.8,34.94,55.4,4.7
332,banjar,36,LS,1545616199,53,-29.31,27.48,53.32,2.42
333,uray,20,UA,1545616199,94,46.93,35.45,29.83,11.48
334,tual,1,CA,1545615300,92,45.36,-73.48,15.8,3.2
335,hofn,80,PE,1545616200,100,-16.09,-69.64,40.18,3.98
336,souillac,20,MU,1545613200,88,-20.01,57.66,73.4,8.05
337,sobolevo,20,AR,1545613200,32,-51.62,-69.22,55.4,17.22
338,cumberland,90,CA,1545615420,92,49.02,-122.8,44.6,3.36
339,khorixas,0,RU,1545615000,65,55.79,84.89,-34.61,4.47
340,whitefish,1,US,1545615300,74,41.04,-88.87,33.98,10.29
341,norman wells,92,MG,1545616201,97,-13.19,49.05,75.05,6.89
342,lewisporte,0,AU,1545616172,58,-33.28,149.1,74.42,5.44
343,langham,8,CN,1545616201,88,32.07,116.17,45.89,9.57
344,monticello,40,BH,1545615000,77,26.15,50.62,62.6,12.75
345,husavik,64,ID,1545616201,61,-3.46,120.21,82.66,5.21
346,asamankese,92,MG,1545616201,88,-19.53,45.46,69.29,2.75
347,attawapiskat,92,GL,1545616202,92,60.91,-46.05,30.37,5.44
348,mikuni,0,SD,1545616202,56,12.35,32.18,65.11,12.03
349,yumen,44,RU,1545616202,74,54.46,64.85,-6.22,8.68
350,leningradskiy,75,AO,1545613200,83,-8.83,13.24,78.8,3.36
351,ouidah,56,CL,1545616202,96,-22.09,-70.2,60.61,2.64
352,ewa beach,0,IN,1545616008,88,25.52,90.21,63.98,3.42
353,darhan,100,CD,1545616203,93,-2.95,25.92,70.87,2.86
354,lagos,8,RU,1545616203,57,52.15,93.92,-14.37,2.19
355,fowa,20,JM,1545613200,74,18.44,-78.17,78.8,8.05
356,armacao dos buzios,0,PK,1545616203,100,24.14,67.45,63.53,18.3
357,vertientes,76,ES,1545613200,100,42.46,-6.05,37.4,4.7
358,lensk,80,DK,1545616204,91,57.08,9.27,31.49,3.2
359,mayor pablo lagerenza,20,CA,1545613200,65,50.2,-66.38,6.8,9.17
360,dalbandin,90,LA,1545613200,88,19.89,102.14,62.6,2.42
361,svetlogorsk,0,IN,1545616204,73,26.75,92.1,55.43,1.86
362,paamiut,88,CV,1545616204,95,14.9,-24.5,74.92,8.12
363,florianopolis,0,CR,1545613200,64,9.43,-84.16,68.0,18.34
364,buin,36,ZA,1545616205,85,-28.77,32.06,70.51,10.47
365,pokhara,90,TM,1545613200,86,38.05,58.21,39.2,6.93
366,sao joao da barra,90,UA,1545615000,96,50.16,37.0,32.0,13.42
367,lavrentiya,90,FR,1545613200,87,46.42,3.91,53.6,8.05
368,kawalu,0,NG,1545613200,88,5.43,7.07,68.0,3.31
369,qingdao,90,CA,1545614580,100,47.66,-52.73,32.0,18.34
370,dhadar,40,US,1545614100,76,36.67,-121.66,57.92,9.17
371,madimba,75,BR,1545613200,88,-3.71,-38.6,77.0,9.17
372,port lincoln,75,CA,1545613200,77,49.72,-86.95,-0.41,6.93
373,taoudenni,40,ID,1545615000,74,-8.65,115.22,84.2,6.93
374,luba,0,NZ,1545616089,40,-45.41,167.72,71.0,3.53
375,aasiaat,75,GB,1545614400,93,53.41,-2.98,42.8,2.24
376,poronaysk,20,SE,1545614400,84,62.49,17.33,8.6,3.36
377,gizo,20,US,1545612960,54,20.89,-156.47,82.04,18.34
378,maseru,90,PE,1545613200,88,-7.84,-79.15,69.8,10.29
379,tambovka,0,PK,1545616207,75,24.7,70.18,44.63,4.21
380,saint-philippe,64,CD,1545616207,46,1.23,23.61,81.58,8.57
381,ilave,12,GB,1545614760,93,52.47,1.45,42.8,3.36
382,grand gaube,32,SO,1545616208,100,9.49,50.81,76.13,23.44
383,rio gallegos,75,PL,1545615000,100,51.6,18.74,35.6,10.29
384,white rock,24,RU,1545616208,34,60.87,60.43,-22.6,7.56
